rr_additive_index,percent_muslim_arda,kosovo_recognition_dummy,belgrad_distance,dem2007,gdppc2007,regnum,ethnic_diversity_alesina,usfdigdp19901999_modified,NATO2007,percent_albanian,socialism,Griffiths,distance1000,percent_muslim25
6.1,0,1,885,1,9043.51,5,0.1183,0.0044262,2,7.86E-03,0,0,0.885,0
0.3,0.24,1,2558,1,18780.5,4,0.0468,0.00870701,2,0.00E+00,1,0,2.558,0.0096
1.8,41.91,1,5039,1,401.128,6,0.8082,0.049216479,1,0.00E+00,1,0,5.039,1.6764
7.582722,20.54628,0,11863,0,494.986,11,0.4595471,0.002736833,1,0.00E+00,0,0,11.863,0.8218513
11.1,83.52,1,3451,0,52265.398,7,0.7456,0.09186966,1,0.00E+00,0,0,3.451,3.3407999
14.1,0.42,0,452,1,5250.47,5,0.3069,0.00079852,2,6.88E-02,0,0,0.452,0.0168
14.6,10.39,0,1730,0,6311.18,5,0.2452,0.0017046,1,0.00E+00,0,1,1.73,0.4156
9,4.78,0,5112,0,303.775,6,0.3238,0.00103145,1,0.00E+00,0,0,5.112,0.1912
1.4,0.3,0,8142,1,11430.1,2,0.1842,0.0049707,1,0.00E+00,0,1,8.142,0.012
4.9,0.46,1,8271,0.8052632,5923.2,2,0.4580574,0.046987999,1,0.00E+00,0,0,8.271,0.0184
4.3,1.49,0,8324,1,5629.59,2,0.4073554,0.00830542,1,0.00E+00,0,0,8.324,0.0596
0,0,1,648,1,48666.398,4,0.2927,0.008144395,1,0.00E+00,0,0,0.648,0
0,0,1,4970,1,747.536,6,0.5929138,0.653846085,1,0.00E+00,0,0,4.97,0
19.5,92.97,1,3264,0,14182.8,7,0.18,0.01249166,1,0.00E+00,0,0,3.264,3.7188
0,89.01,1,4900,1,786.388,6,0.6939,0.00622924,1,0.00E+00,0,0,4.9,3.5604001
0,0.21,0,6447,0,13057.4,6,0.2025,0.0043478,1,0.00E+00,0,0,6.447,0.0084
2.1,46.41,1,5168,1,343.101,6,0.8191,0.009924225,1,0.00E+00,0,0,5.168,1.8564
9.4,18.65,0,9390,0,31874,10,0.3857,0.160446227,1,0.00E+00,0,0,9.39,0.746
5.3,0,0,507,1,13602.9,5,0.2539,0.001272033,2,1.08E-01,0,0,0.507,0
11.7,0.2,0,8035,0,784.252,10,0.2383,0.000556511,1,0.00E+00,1,0,8.035,0.008
6.5,1.82,1,517,1,20020.801,5,0.2216,0.000710088,2,3.01E-01,0,0,0.517,0.0728
16.9,99.75,1,5275,0,1304.318,6,0.8117,0.010014423,1,0.00E+00,0,1,5.275,3.99
2.7,2.35,0,7726,0,5706.28,6,0.7517,0.0085416,1,0.00E+00,0,1,7.726,0.094
